Link,json name,count of quickfire questions,count of boardQuestions,total quickfire,total board questions
https://kvizoholicari.com/potjera-pitanja-i-odgovori-16-02-2026-ep-1789/,ep-1789.json,62,27,62,27
https://kvizoholicari.com/potjera-pitanja-i-odgovori-12-02-2026-ep-1788/,ep-1788.json,75,21,75,21
https://kvizoholicari.com/potjera-pitanja-i-odgovori-11-02-2026-ep-1787/,ep-1787.json,65,25,65,25
https://kvizoholicari.com/potjera-pitanja-i-odgovori-10-02-2026-ep-1786/,ep-1786.json,67,31,67,31
https://kvizoholicari.com/potjera-pitanja-i-odgovori-09-02-2026-ep-1785/,ep-1785.json,64,30,64,30
https://kvizoholicari.com/potjera-pitanja-i-odgovori-05-02-2026-ep-1784/,ep-1784.json,71,26,71,26
https://kvizoholicari.com/potjera-pitanja-i-odgovori-04-02-2026-ep-1783/,ep-1783.json,69,17,69,17
https://kvizoholicari.com/potjera-pitanja-i-odgovori-03-02-2026-ep-1782/,ep-1782.json,61,27,61,27
https://kvizoholicari.com/potjera-pitanja-i-odgovori-02-02-2026-ep-1781/,ep-1781.json,72,25,72,25
https://kvizoholicari.com/potjera-pitanja-i-odgovori-29-01-2026-ep-1780/,ep-1780.json,75,24,75,24
https://kvizoholicari.com/potjera-pitanja-i-odgovori-28-01-2026-ep-1779/,ep-1779.json,71,23,71,23
https://kvizoholicari.com/potjera-pitanja-i-odgovori-27-01-2026-ep-1778/,ep-1778.json,69,24,69,24
